Amount,Hour,Frequency,Receiver_Known,Deviation,Location_New,Transactions_Last_1min,Class
32532,18,1,0,32.532,1,1,0
27102,9,3,1,27.101999999999997,0,3,0
24136,8,3,0,24.136,1,3,0
103345,10,1,0,100.0,1,1,1
43159,22,5,1,43.159,1,5,0
26039,20,0,1,26.039,1,0,0
123044,10,5,1,100.0,0,5,0
87818,10,0,1,87.818,0,0,0
124952,2,0,0,100.0,1,0,0
107647,8,0,1,100.0,1,0,0
99691,3,2,0,99.691,0,2,0
81148,16,5,0,81.148,0,5,1
41270,12,1,0,41.27,0,1,0
197156,19,2,1,100.0,0,2,0
111946,15,2,1,100.0,1,2,0
136233,23,1,0,100.0,0,1,1
166630,17,4,1,100.0,1,4,1
162843,6,3,1,100.0,0,3,0
50294,7,0,0,50.294000000000004,1,0,0
6207,18,0,0,6.207,0,0,0
78126,20,3,0,78.12599999999999,1,3,0
79607,7,1,0,79.607,1,1,0
31583,4,2,1,31.583,1,2,0
61921,13,2,1,61.92100000000001,0,2,0
29717,6,1,1,29.717,0,1,0
198478,18,2,1,100.0,1,2,0
179429,7,0,1,100.0,1,0,0
96419,16,1,0,96.419,0,1,0
124752,13,2,1,100.0,0,2,0
188755,2,4,0,100.0,0,4,1
69003,22,1,1,69.003,1,1,0
37581,23,3,1,37.580999999999996,0,3,0
122047,5,1,1,100.0,1,1,0
52664,20,0,0,52.664,1,0,0
102614,23,3,1,100.0,0,3,0
53091,10,2,0,53.091,0,2,0
59133,11,3,0,59.133,0,3,0
18526,14,5,1,18.526,1,5,0
169816,4,4,1,100.0,1,4,1
125252,1,3,0,100.0,0,3,1
1980,8,2,0,1.9800000000000002,0,2,0
69276,19,1,0,69.27600000000001,0,1,0
82913,10,0,1,82.913,1,0,0
111796,1,5,0,100.0,1,5,1
20317,15,3,0,20.317,1,3,0
146698,0,0,1,100.0,1,0,0
44261,13,0,0,44.261,0,0,0
82591,17,3,0,82.59100000000001,1,3,0
68688,23,3,0,68.688,0,3,1
106390,19,4,1,100.0,0,4,0
87756,4,5,0,87.756,1,5,0
61384,6,0,1,61.38400000000001,0,0,0
100155,10,3,1,100.0,0,3,0
116956,20,5,0,100.0,1,5,1
138057,19,3,1,100.0,0,3,0
106606,18,2,1,100.0,0,2,0
54183,15,0,1,54.18300000000001,1,0,0
112478,12,2,1,100.0,1,2,0
65311,19,0,0,65.31099999999999,1,0,0
175890,12,1,1,100.0,1,1,0
25195,2,1,1,25.195,0,1,0
49997,20,1,1,49.997,0,1,0
188850,20,1,0,100.0,1,1,1
94477,6,1,1,94.477,1,1,0
72416,9,2,0,72.416,1,2,0
68475,11,1,1,68.475,0,1,0
46598,1,1,1,46.598,0,1,0
50790,14,1,1,50.79,1,1,0
19775,12,1,1,19.775000000000002,0,1,0
123875,14,2,1,100.0,1,2,0
151206,4,4,0,100.0,1,4,1
13316,16,0,0,13.316,1,0,0
51769,12,0,0,51.769,0,0,0
156246,23,2,1,100.0,0,2,0
35156,18,3,1,35.156,0,3,0
119866,15,3,1,100.0,0,3,0
43969,22,4,1,43.969,1,4,0
122570,3,0,1,100.0,0,0,0
131577,23,4,0,100.0,1,4,1
175923,16,1,1,100.0,0,1,0
54008,19,0,1,54.008,0,0,0
187291,13,3,0,100.0,0,3,0
157319,17,3,1,100.0,0,3,0
196774,18,0,1,100.0,1,0,0
18263,16,2,0,18.262999999999998,0,2,0
29419,14,5,0,29.419,0,5,1
70340,13,1,0,70.34,1,1,0
14812,8,5,0,14.812,0,5,0
21298,15,5,1,21.298000000000002,0,5,0
107345,2,2,1,100.0,1,2,0
58633,16,4,1,58.633,0,4,0
184164,13,0,0,100.0,1,0,0
103959,10,1,0,100.0,0,1,0
17912,1,1,1,17.912,0,1,0
6496,4,1,0,6.496,0,1,0
111314,0,3,0,100.0,0,3,0
175502,8,3,1,100.0,0,3,0
142591,1,0,1,100.0,1,0,0
141513,6,2,1,100.0,0,2,0
33436,22,2,1,33.436,0,2,0
32049,16,1,0,32.049,1,1,0
142229,2,0,0,100.0,0,0,0
6798,0,3,1,6.798,1,3,0
111250,5,3,1,100.0,0,3,0
94300,10,2,0,94.3,0,2,0
33877,22,0,0,33.877,0,0,0
136353,11,0,1,100.0,1,0,0
34865,1,2,1,34.865,1,2,0
66333,8,1,1,66.333,0,1,0
37287,16,0,1,37.287,1,0,0
27893,5,0,0,27.893,0,0,0
4590,2,4,1,4.590000000000001,0,4,0
13886,4,3,0,13.886000000000001,1,3,0
92484,17,0,1,92.484,0,0,0
157315,1,1,1,100.0,1,1,0
54179,20,0,1,54.179,1,0,0
169853,14,2,1,100.0,1,2,1
42176,2,3,1,42.176,0,3,0
18399,6,2,0,18.398999999999997,1,2,0
23495,18,2,1,23.494999999999997,0,2,0
36095,7,3,1,36.095,0,3,0
140266,9,1,1,100.0,1,1,0
56646,1,2,0,56.645999999999994,1,2,1
109524,5,0,0,100.0,0,0,0
48443,0,2,1,48.443000000000005,1,2,0
45788,18,2,1,45.788000000000004,0,2,0
101626,7,0,1,100.0,0,0,0
108792,17,1,0,100.0,1,1,1
51927,11,3,0,51.927,1,3,0
107572,9,2,0,100.0,0,2,0
100945,13,3,1,100.0,1,3,0
151104,14,2,1,100.0,0,2,0
83718,2,3,0,83.718,0,3,0
50440,0,4,1,50.44,0,4,0
128872,3,3,1,100.0,0,3,0
166479,22,1,1,100.0,1,1,0
185728,0,1,1,100.0,1,1,0
119211,10,0,0,100.0,1,0,0
127174,10,1,0,100.0,0,1,1
63332,19,4,0,63.332,1,4,1
94847,19,0,0,94.84700000000001,0,0,0
38525,7,4,1,38.525,0,4,0
136470,14,5,1,100.0,0,5,0
63071,4,1,1,63.071,0,1,0
76672,18,5,1,76.672,0,5,0
106307,17,1,0,100.0,0,1,0
45846,12,2,1,45.846,0,2,0
32975,3,1,1,32.975,0,1,0
70213,23,2,0,70.21300000000001,1,2,0
16729,8,2,1,16.729,1,2,0
20415,0,2,0,20.415,0,2,1
25500,16,1,1,25.5,0,1,0
39431,14,0,0,39.431,1,0,0
140691,16,2,1,100.0,1,2,1
182714,7,5,0,100.0,1,5,1
14713,4,1,1,14.713000000000001,0,1,0
39283,8,2,1,39.283,0,2,0
89758,18,1,0,89.75800000000001,1,1,0
148965,3,3,1,100.0,1,3,1
6413,15,3,1,6.413,0,3,0
96961,23,1,1,96.961,0,1,0
147557,14,2,0,100.0,0,2,1
16668,0,0,1,16.668,1,0,0
38414,21,1,0,38.414,0,1,0
29906,17,3,1,29.906,0,3,0
9927,10,0,0,9.927,0,0,0
137511,5,3,1,100.0,1,3,0
25841,0,2,1,25.840999999999998,1,2,0
8746,11,1,0,8.746,1,1,0
68543,13,0,0,68.54299999999999,1,0,0
44178,7,3,1,44.178,0,3,0
36462,10,4,1,36.462,1,4,1
90642,2,3,1,90.642,1,3,0
45814,8,1,1,45.814,1,1,0
64273,9,0,0,64.273,1,0,0
153369,14,3,1,100.0,1,3,0
21133,13,2,1,21.133,1,2,0
53447,0,0,1,53.447,0,0,0
70003,11,3,0,70.003,0,3,0
86317,0,1,1,86.317,0,1,0
175143,8,3,1,100.0,0,3,0
86016,4,0,1,86.016,1,0,0
145866,14,1,1,100.0,1,1,0
45500,12,2,1,45.5,0,2,0
46018,6,4,1,46.018,1,4,0
97097,4,5,1,97.097,0,5,1
133969,6,3,0,100.0,1,3,0
119081,23,2,0,100.0,1,2,0
27645,11,0,1,27.644999999999996,0,0,0
56949,18,5,0,56.949000000000005,1,5,1
86490,18,3,0,86.49,1,3,1
65347,12,0,0,65.347,0,0,0
42323,7,0,1,42.323,0,0,0
339,19,2,0,0.33899999999999997,1,2,0
7654,7,3,0,7.654,0,3,0
157848,17,3,1,100.0,0,3,0
36903,5,2,1,36.903000000000006,0,2,0
147638,10,5,0,100.0,1,5,1
127649,0,0,1,100.0,0,0,1
15488,8,2,1,15.488,0,2,0
3235,4,3,1,3.235,0,3,0
143845,3,2,1,100.0,1,2,1
97226,8,0,0,97.226,0,0,0
121236,19,0,1,100.0,1,0,0
92845,19,0,1,92.845,0,0,0
174894,23,5,0,100.0,0,5,1
41380,15,4,1,41.38,1,4,0
91003,8,0,1,91.003,0,0,0
36213,13,3,1,36.213,0,3,0
28178,20,2,1,28.177999999999997,1,2,0
25841,11,0,0,25.840999999999998,0,0,0
76388,10,4,1,76.388,1,4,0
75927,13,1,0,75.927,0,1,0
70569,14,2,1,70.569,1,2,0
12184,17,0,0,12.184000000000001,1,0,0
59893,23,2,1,59.892999999999994,1,2,0
38065,15,0,0,38.065,1,0,0
46455,2,5,1,46.455,0,5,1
2461,1,2,0,2.461,0,2,0
107065,7,0,0,100.0,0,0,0
83815,11,3,1,83.815,1,3,0
18171,3,3,1,18.171,0,3,0
118683,3,0,0,100.0,1,0,0
20184,23,1,0,20.183999999999997,1,1,0
180879,6,2,1,100.0,1,2,1
126935,4,5,0,100.0,0,5,1
81245,0,2,0,81.245,1,2,0
123849,1,2,1,100.0,0,2,0
2377,12,2,0,2.377,0,2,0
96181,11,3,1,96.18100000000001,0,3,0
167931,0,2,1,100.0,0,2,0
167899,15,3,0,100.0,1,3,1
23167,2,4,0,23.166999999999998,0,4,1
22104,5,3,0,22.104,0,3,0
84708,10,1,1,84.708,0,1,0
42443,14,3,1,42.443,1,3,0
13503,15,1,1,13.503000000000002,0,1,0
5006,4,5,0,5.006,0,5,0
3408,20,1,1,3.408,1,1,0
67300,23,5,1,67.30000000000001,0,5,0
58039,23,3,0,58.038999999999994,1,3,0
95128,4,2,1,95.128,0,2,0
198487,23,2,1,100.0,1,2,0
24809,1,4,1,24.809,0,4,0
166002,9,3,1,100.0,0,3,0
116546,15,0,1,100.0,0,0,0
174089,15,3,1,100.0,1,3,0
17894,17,1,0,17.894,0,1,0
76998,17,2,1,76.998,0,2,0
58469,23,5,1,58.469,1,5,0
176489,6,0,1,100.0,1,0,1
30998,8,2,0,30.997999999999998,1,2,0
48693,10,2,1,48.693,0,2,0
69864,15,2,1,69.864,0,2,0
58445,10,0,1,58.445,0,0,0
25273,10,1,0,25.273,0,1,0
197552,20,2,0,100.0,1,2,1
29116,2,0,0,29.115999999999996,1,0,0
47094,22,1,0,47.094,1,1,0
184146,21,4,1,100.0,1,4,1
7798,18,3,1,7.797999999999999,0,3,0
72747,19,0,0,72.747,0,0,0
119382,20,5,1,100.0,1,5,0
193403,14,0,1,100.0,0,0,0
82685,11,2,1,82.685,1,2,0
99590,15,0,1,99.59,1,0,0
39414,2,0,1,39.414,0,0,0
43425,15,2,1,43.425000000000004,1,2,0
113523,18,3,0,100.0,0,3,0
191795,9,0,1,100.0,0,0,0
36083,18,3,1,36.083,0,3,0
32556,17,2,1,32.556000000000004,0,2,0
38953,15,1,1,38.952999999999996,1,1,0
28759,2,1,1,28.759,0,1,0
102640,10,3,1,100.0,0,3,0
143891,9,4,0,100.0,1,4,1
14192,0,3,0,14.191999999999998,1,3,0
100446,5,4,1,100.0,0,4,1
72823,5,3,1,72.82300000000001,0,3,0
102253,4,0,1,100.0,1,0,0
101279,6,2,0,100.0,0,2,0
123216,23,3,1,100.0,0,3,1
51209,9,1,0,51.209,1,1,0
147395,12,0,1,100.0,0,0,0
143397,16,5,0,100.0,0,5,0
78291,22,3,1,78.291,0,3,0
121644,9,5,0,100.0,1,5,1
58360,13,2,1,58.36,1,2,0
31484,20,2,0,31.484,0,2,0
49705,6,3,1,49.705,0,3,0
